,prot_dataset,interaction_dataset,FDR_threshold,hit_type,common_pairs,FET_OR,FET_p,FET_p_adj
0,pancan,bronze_standard_SL,0.05,compensation,1327,2.9886658,0.0036137,0.0072274
0,pancan,strict_comb_hit,0.05,compensation,1252,4.9164022,3.28e-05,9.839999999999999e-05
0,pancan,lenient_comb_hit,0.05,compensation,1252,3.4705771,7e-07,4.2000000000000004e-06
0,pancan,in_PC_CORUM,0.05,compensation,3180,1.9784162,7.3e-06,2.92e-05
0,pancan,in_PC_CORUM_essential,0.05,compensation,3180,3.467979,0.0,0.0
0,pancan,in_PC_CORUM_both,0.05,compensation,3180,4.1237879,1e-07,8e-07
0,pancan,in_PC_EBI,0.05,compensation,3180,3.3106529,0.0,0.0
0,pancan,in_PC_humap,0.05,compensation,3180,2.1567448,1.6e-06,7.68e-06
0,pancan,closest_pair,0.05,compensation,3180,1.7097437,0.0003925,0.0009419999999999999
0,pancan,famsize2,0.05,compensation,3180,2.2723218,3.09e-05,9.839999999999999e-05
0,pancan,other_dir_comp,0.05,compensation,1339,5.6900878,0.0007415,0.0016178181818181819
0,pancan,other_dir_cl,0.05,compensation,1339,0.506875,0.5797681,0.7730241333333333
0,pancan,bronze_standard_SL,0.05,collateral_loss,1285,0.5156299,1.0,1.0
0,pancan,strict_comb_hit,0.05,collateral_loss,1204,1.3716793,0.6586825,0.83202
0,pancan,lenient_comb_hit,0.05,collateral_loss,1204,0.7920721,0.8243904,0.8993349818181818
0,pancan,in_PC_CORUM,0.05,collateral_loss,3080,0.7686186,0.344056,0.5898102857142856
0,pancan,in_PC_CORUM_essential,0.05,collateral_loss,3080,0.77886,0.5332738,0.7528571294117647
0,pancan,in_PC_CORUM_both,0.05,collateral_loss,3080,0.3119846,0.3704545,0.5927272
0,pancan,in_PC_EBI,0.05,collateral_loss,3080,1.1366301,0.7294423,0.8738397714285714
0,pancan,in_PC_humap,0.05,collateral_loss,3080,1.0245018,1.0,1.0
0,pancan,closest_pair,0.05,collateral_loss,3080,1.8250314,0.0102651,0.018950953846153844
0,pancan,famsize2,0.05,collateral_loss,3080,1.2897381,0.4676993,0.7015489500000001
0,pancan,other_dir_comp,0.05,collateral_loss,1341,0.6624744,0.7646098,0.8738397714285714
0,pancan,other_dir_cl,0.05,collateral_loss,1341,5.4609944,0.000197,0.0005253333333333333
