,gene_pair,t_stat,p_val,p_values_adjusted,compensation,collateral_loss
0,ARFGAP3_ARFGAP2,3.1493540600391627,0.007100750080158196,0.023331035977662645,True,False
1,ARFGAP2_ARFGAP3,-0.1855872830733072,0.8554304014919921,0.8943136015598099,False,False
2,ARID3B_ARID1A_c010,5.5806215600467235,2.6901174655048574e-05,0.0002474908068264469,True,False
4,ARID3A_ARID1A_c010,2.645065153192533,0.01645960400636934,0.044537752017234686,True,False
5,ARID1B_ARID1A_c010,-0.5426948930557165,0.5939965160434398,0.8156865378599815,False,False
6,ARID1A_ARID1B,-2.260608686056523,0.04024034151438555,0.08413889589371523,False,False
7,ARID3B_ARID1B,-1.5007337276887027,0.15563735799174744,0.2863727387048153,False,False
9,ARID3A_ARID1B,0.8281970293022113,0.42145368546605344,0.625382888110918,False,False
10,CHMP1B_CHMP1A,3.862611842724986,0.0017241491112987527,0.007931085911974263,True,False
11,CHMP1A_CHMP1B,-3.9133157337009288,0.0015603304884584158,0.007931085911974263,False,True
12,COPS7B_COPS7A,-0.4699478535116384,0.6456287338786677,0.8249700488449643,False,False
13,COPS7A_COPS7B,0.25786931321402445,0.8002596939211584,0.8691092092187862,False,False
14,EP300_CREBBP,0.3999141049987448,0.6952548352806114,0.8643708762948141,False,False
16,BRD3_CREBBP,-3.5846939594983387,0.002987872062222137,0.010572470374016794,False,True
17,BRD2_CREBBP,0.30243811523941283,0.7667648278378882,0.8691092092187862,False,False
18,BRD4_CREBBP,0.9580803343137686,0.35427631043924745,0.5619555269036338,False,False
19,DDX5_DDX17,6.945826063083433,6.808576839105173e-06,7.82986336497095e-05,True,False
20,DDX21_DDX17,8.23823858436209,9.715768924581175e-07,1.4897512351024469e-05,True,False
21,DDX50_DDX17,2.3838936737691805,0.031835263287446736,0.0770508542002279,False,False
23,DDX42_DDX17,2.945133447311485,0.010647957593003566,0.030612878079885254,True,False
24,DDX46_DDX17,2.4012963040317765,0.030792379034297258,0.0770508542002279,False,False
25,DDX21_DDX5,0.13599398745629954,0.8937621582730049,0.9136235395679605,False,False
26,DDX50_DDX5,0.5061451859792335,0.6206310614152033,0.8156865378599815,False,False
28,DDX42_DDX5,-0.2888737801756472,0.7769112456192856,0.8691092092187862,False,False
29,DDX46_DDX5,2.3315871702355455,0.03517538996097361,0.0770508542002279,False,False
30,DDX17_DDX5,3.0680548579388733,0.008345325314281159,0.025592330963795554,True,False
31,MBD2_MBD3,1.2956044643457187,0.21606711796813602,0.36811434913089836,False,False
40,RAB35_RAB1A,-0.2418169065101028,0.8124281738349524,0.8691092092187862,False,False
41,RAB18_RAB1A,-3.9535335139269057,0.0014417168659528732,0.007931085911974263,False,True
43,RAB33B_RAB1A,1.7197405988421157,0.10749863124226948,0.21499726248453896,False,False
48,RAB1B_RAB1A,-0.2796621600423667,0.7838260401522043,0.8691092092187862,False,False
51,RAB35_RAB1B,-1.4449189769082218,0.17048987501434598,0.30163593271768907,False,False
52,RAB18_RAB1B,-2.3389885887643285,0.03468337907322253,0.0770508542002279,False,False
54,RAB33B_RAB1B,1.5208376197430458,0.15056116334683012,0.2863727387048153,False,False
58,RAB1A_RAB1B,-1.0873188340094675,0.29526181831080656,0.48507298722489645,False,False
60,SEC23B_SEC23A,20.058775412994862,1.0333991842856192e-11,4.753636247713849e-10,True,False
61,SEC23A_SEC23B,5.771417151933313,4.83920707474769e-05,0.0003710058757306563,True,False
63,SMARCA2_SMARCA4,18.803499715607582,2.4773830566201953e-11,5.697981030226449e-10,True,False
64,SMARCC2_SMARCC1,5.351759260128803,0.0001021287955270538,0.0006711320848920678,True,False
65,SMARCC1_SMARCC2,3.6322576842203196,0.0027188310450784138,0.010422185672800587,True,False
66,KATNA1_VPS4A,-0.9211661422086052,0.37256532322101554,0.5712668289388905,False,False
67,KATNAL2_VPS4A,0.02427871326450356,0.9809729564398237,0.9809729564398237,False,False
68,VPS4B_VPS4A,0.519366214431155,0.6116184302649941,0.8156865378599815,False,False
70,KATNA1_VPS4B,-0.7779878057352796,0.44952498595337653,0.6461921673079788,False,False
71,KATNAL2_VPS4B,0.3409645815490459,0.7381931376667881,0.8691092092187862,False,False
72,VPS4A_VPS4B,3.714066399850785,0.002312036964778343,0.009668518216345798,True,False
