,A2,t_stat,p_val,p_values_adjusted,sig,logFC,clone,real_A2
0,ARID1B,-4.496208121480011,0.0005028284897253876,0.0006171076919357031,True,-3.5453315341374,,ARID1B
1,CHMP1B,-3.4274661752194415,0.004083596039486337,0.0045940455444221295,True,-2.6328110845633077,,CHMP1B
2,SMARCC1,-8.220196830780933,9.969270625434426e-07,1.495390593815164e-06,True,-6.8419136543787396,,SMARCC1
3,SMARCA4,-12.160115837692429,7.8884997122208e-09,1.9362681111814695e-08,True,-6.445529473604552,,SMARCA4
4,SMARCC2,-9.718190597912232,1.3294643146373106e-07,2.440795320294543e-07,True,-5.792009532532592,,SMARCC2
5,RAB1A,-11.424448404203622,1.753173943207085e-08,3.944641372215941e-08,True,-7.028253678562617,,RAB1A
7,VPS4A,-7.872243346282725,1.650878502867827e-06,2.3459852409174382e-06,True,-5.365259120118683,,VPS4A
9,ARID1A_c003,-15.766461226286474,2.6275894109901456e-10,9.513053449513154e-10,True,-4.7537247379435605,c003,ARID1A
11,CHMP1A,-21.893155301661167,3.1451736152042926e-12,2.1229921902628978e-11,True,-4.193226042500243,,CHMP1A
12,DDX17,-18.93508281441514,2.2547486168010475e-11,1.2175642530725657e-10,True,-7.638259028242086,,DDX17
13,SEC23A,-9.163033301978476,2.727128528655785e-07,4.3313217808062465e-07,True,-4.822679523781908,,SEC23A
15,MBD2,-0.38114359960442373,0.7088182925317875,0.7088182925317875,False,-0.25643274022172236,,MBD2
16,COPS7B,-5.074274624153173,0.00016954623791647018,0.0002179880201783188,True,-3.836306080219291,,COPS7B
17,ARID1A_c010,-24.280016223219004,7.649623094144037e-13,6.884660784729634e-12,True,-4.860369565122518,c010,ARID1A
18,MBD3,-9.908818955027327,1.0462493828390988e-07,2.1729794874350515e-07,True,-6.401154045977137,,MBD3
19,DDX5,-40.017346199479356,7.722159214695675e-16,1.0424914939839162e-14,True,-8.01508199256623,,DDX5
20,COPS7A,-5.642441803569147,6.072265905178557e-05,8.197558971991052e-05,True,-4.957952254267855,,COPS7A
21,MAGT1,-15.545024110944423,3.1710178165043847e-10,9.513053449513154e-10,True,-5.961232514830154,,MAGT1
25,EP300,-1.3414761675612912,0.20112220964831742,0.21721198642018283,False,-2.0120122207397237,,EP300
28,SEC31A,-15.581022429339026,3.07507481923661e-10,9.513053449513154e-10,True,-6.219629233335976,,SEC31A
29,ARFGAP3,-15.105073409160054,4.6402932570419006e-10,1.2528791794013133e-09,True,-6.172558454206268,,ARFGAP3
30,RAB1B,-16.925184972114454,1.0198616382605789e-10,4.589377372172605e-10,True,-6.130635546101384,,RAB1B
33,SEC23B,-52.24452537093182,1.891782708282611e-17,5.107813312363049e-16,True,-5.318508026656502,,SEC23B
34,VPS4B,-9.702591789869011,1.3559974001636352e-07,2.440795320294543e-07,True,-5.6812157424842304,,VPS4B
35,CREBBP,-3.9246894277346316,0.0015258121704625866,0.001791170808803906,True,-2.794654746246927,,CREBBP
36,ARFGAP2,-9.570395338303419,1.6047729491521613e-07,2.708054351694272e-07,True,-5.937538411474506,,ARFGAP2
37,SMARCA2,-0.6405064485172782,0.5321876270591622,0.5526563819460532,False,-0.2560219651260489,,SMARCA2
